A - Assigning Teams                 | V
B - Back to the Future              | 
C - Counting Self-Rotating Subsets  | 
D - Dating On-Line                  | 
E - Emission Spectrum               | 
F - Farm robot                      | V
G - Game of Matchings               | 
H - Hotel Rewards                   | 
I - Critical Links                  | V
J - Just in Time                    | 
K - Kill the Werewolf               | 
L - Holes                           | 
M - String Problem                  | V
